,anterior_reticular_formation_LEFT,anterior_reticular_formation_RIGHT,caudal_hypothalamus_LEFT,caudal_hypothalamus_RIGHT,cerebellum_LEFT,cerebellum_RIGHT,glossopharyngeal_ganglion_LEFT,glossopharyngeal_ganglion_RIGHT,habenula_LEFT,habenula_RIGHT,inferior_olive_LEFT,inferior_olive_RIGHT,intermediate_hypothalamus_LEFT,intermediate_hypothalamus_RIGHT,intermediate_reticular_formation_LEFT,intermediate_reticular_formation_RIGHT,interpeduncular_nucleus_LEFT,interpeduncular_nucleus_RIGHT,medial_octavolateral_nucleus_LEFT,medial_octavolateral_nucleus_RIGHT,MO_stripe_1_LEFT,MO_stripe_1_RIGHT,MO_stripe_2_LEFT,MO_stripe_2_RIGHT,MO_stripe_3_LEFT,MO_stripe_3_RIGHT,MO_stripe_4_LEFT,MO_stripe_4_RIGHT,MO_stripe_5_LEFT,MO_stripe_5_RIGHT,octaval_ganglion_LEFT,octaval_ganglion_RIGHT,olfactory_bulb_LEFT,olfactory_bulb_RIGHT,olfactory_epithelium_LEFT,olfactory_epithelium_RIGHT,pallium_LEFT,pallium_RIGHT,pituitary_LEFT,pituitary_RIGHT,posterior_reticular_formation_LEFT,posterior_reticular_formation_RIGHT,posterior_teberculum_LEFT,posterior_teberculum_RIGHT,preoptic_region_LEFT,preoptic_region_RIGHT,pretectum_LEFT,pretectum_RIGHT,raphe_nucleus_LEFT,raphe_nucleus_RIGHT,retina_LEFT,retina_RIGHT,rostral_hypothalamus_LEFT,rostral_hypothalamus_RIGHT,subpallium_LEFT,subpallium_RIGHT,tectum_LEFT,tectum_RIGHT,tegmentum_LEFT,tegmentum_RIGHT,thalamus_LEFT,thalamus_RIGHT,torus_longitudinalis_LEFT,torus_longitudinalis_RIGHT,torus_semicircularis_LEFT,torus_semicircularis_RIGHT,trigeminal_ganglion_LEFT,trigeminal_ganglion_RIGHT,vagal_region_LEFT,vagal_region_RIGHT,vagus_motor_neurons_LEFT,vagus_motor_neurons_RIGHT
inferior_olive_LEFT,0.022058412,0.001177367,0,0,0.000235757,0.000723305,0,0,0,0,0,0.002001454,0.00168174,0.000422143,0.009423413,0.000404012,0.00164634,0,0,0,0.002300846,0.000206983,0.000210409,0.000314927,0.00057908,0.000147034,0.000479247,0.000126677,0,0.000290321,0.003613175,0.000308016,0,0,0,0,0,0,0,0,0.017741453,0.002683493,0,0,0.000248691,0,0.000729286,0.000303843,0.004364317,0.004383618,0,0,0,0,0,0,4.51E-05,0,0.002927192,0.000520704,0.003013191,0.000863793,0,0,0.003498042,0,0,0,0,0.00215618,0,0.000734579
inferior_olive_RIGHT,0.000668094,0.017084086,0,0,0,0,0,0,0,0,0.002001454,0,0.000417996,0.001004939,0.000177264,0.005708444,0,0.000676536,0,0,0.000185738,0.002216963,0.000294715,0,0,0.000152611,0,0,0.000223016,0,0,0.004260391,0,0,0,0,0,0,0,0,0.001359684,0.010787589,0,0,0,0.000274143,0,0.000523156,0.004091288,0.002558124,0,0,0,0,0,0,0,3.01E-05,0.000176281,0.001597028,7.75E-05,0.001052208,0,0,0,0.000271731,0,0,0.001448045,0,0.000563792,0
intermediate_hypothalamus_LEFT,0.139482313,0.081974885,0.0597861,0.047942465,0.004866501,0.003729299,0,0,0.002845882,0.002569715,0.00168174,0.000417996,0,0.134044636,0.042001367,0.00942041,0.092486074,0.067914552,0,0,0.048136256,0.041915224,0,0,0.003844427,0.00249734,0.004204495,0,0.00246657,0,0.001086904,0,0.001080679,0.001915076,0,0,0.027720107,0.018432282,0.000701012,0.003001029,0.041406981,0.016037934,0.020627637,0.015631371,0.033464429,0.01977565,0.011375711,0.003021212,0.118281491,0.09245594,0,0,0.003176124,0.002998931,0.040583186,0.032829096,0.004209168,0.00122479,0.029063731,0.003077062,0.043156808,0.009367975,0,0,0.007823473,0.001739471,0.000212341,0,0.000216791,0,0.000903337,0
intermediate_hypothalamus_RIGHT,0.071770947,0.145156113,0.041440053,0.064247658,0.003660341,0.005073085,0,0,0.002467563,0.002470056,0.000422143,0.001004939,0.134044636,0,0.011228051,0.040083087,0.071189217,0.080930601,0,0,0.038495386,0.048234501,0,0,0.002687581,0.005406475,7.45E-05,0.004048793,4.65E-05,0.003444261,0,0.000998697,0.001682277,0.001076612,0,0,0.019588723,0.025896912,0.002731629,0.00065119,0.015439698,0.03966564,0.009054319,0.029041074,0.019361159,0.034033306,0.002946961,0.011299373,0.092434693,0.109034234,0,0,0.00258841,0.004976776,0.031910298,0.040205799,0.00154669,0.006304641,0.003581035,0.030360173,0.009564967,0.043946927,0,0,0.00171119,0.008383462,0,0.000225111,0,0.000354091,0,0
intermediate_reticular_formation_LEFT,0.30500028,0.082955772,0.000936526,0.00118297,0.012459803,0.017646636,0,0,0.000475754,0,0.009423413,0.000177264,0.042001367,0.011228051,0,0.124431101,0.021637211,0.002890611,0.02083814,0.03321315,0.038143174,0.01304103,0.00088787,0.001362334,0.04385964,0.059066697,0.034450681,0.018922705,0.033305857,0.036912414,0.00619746,0.000671634,0,0,0,0,0.001060424,0.000353437,0,0,0.232595036,0.077800799,0.009432065,0.001750678,0.003199891,0.000728367,0.016816805,0.00497048,0.099065331,0.0582393,0,0,0.002971308,0.00336272,0.002038204,0.000380831,0.005980833,0.001798524,0.083096986,0.035917096,0.053480247,0.018413327,0,0,0.070498956,0.03987062,0.001485682,0,0.002345751,0.00300531,0.002342787,0.000609624
intermediate_reticular_formation_RIGHT,0.086054755,0.306665336,0.001001396,0.000930946,0.017526539,0.011763031,0,0,0,0.00050925,0.000404012,0.005708444,0.00942041,0.040083087,0.124431101,0,0.002730587,0.014749101,0.033484613,0.022396645,0.013887711,0.040287395,0.002459038,0.000370102,0.052485327,0.059710803,0.030448314,0.028704476,0.044349967,0.028948283,0.000690831,0.006465248,0,0,0,0,0.000349895,0.000949219,0,0,0.08198135,0.232529488,0.000699483,0.011998829,0.000630919,0.003053649,0.00526024,0.017918498,0.062208603,0.093472112,0,0,0.000979167,0.004618941,7.27E-05,0.001515595,0.001795067,0.005971782,0.039278452,0.082821085,0.018352149,0.053721627,0,0,0.041273222,0.06920429,0,0.001702339,0.002019889,0.003048667,0.000568408,0.001869182
interpeduncular_nucleus_LEFT,0.154166571,0.042841549,0.06878248,0.066877438,0.003848471,0.008393046,0,0,0.005611034,0.003670424,0.00164634,0,0.092486074,0.071189217,0.021637211,0.002730587,0,0.1331578,0,0,0.035369827,0.010632294,0,0,0.003365844,0.003270171,0.000433506,0.000515458,0,0,0.003023463,0,0,0,0,0,0.002446588,0.002912644,0.005389501,0.00333811,0.01869942,0.003067097,0.005336824,0.006142263,0.006860694,0.007946796,0.001904707,0.00122236,0.203447753,0.062625049,0,0,0,0,0.00716662,0.002860322,0.000948115,0.000935501,0.005165251,0.003293716,0.008096315,0.002679615,0,0,0.002615228,0.001951091,0,0,0,0,0,0
interpeduncular_nucleus_RIGHT,0.031856677,0.147803297,0.05400836,0.070962371,0.007878595,0.00474804,0,0,0.003971073,0.005612196,0,0.000676536,0.067914552,0.080930601,0.002890611,0.014749101,0.1331578,0,0,0,0.009390175,0.035420877,0,0,0.003233331,0.002989411,0.000424707,0.000494814,0,0,0,0.002680116,0,0,0,0,0.002523615,0.00188556,0.003291775,0.005437908,0.003719349,0.014086542,0.002233373,0.007899816,0.007340022,0.005548593,0.000706404,0.001861207,0.062958386,0.165282553,0,0,0,0.000155836,0.002519211,0.00652547,0.000698433,0.000917488,0.003694179,0.003729775,0.002363484,0.006690536,0,0,0.001509352,0.00253526,0,0,0,0,0,0
medial_octavolateral_nucleus_LEFT,0.012263042,0.023428115,0,0,0.062005841,0.025498252,0,0,0,0,0,0,0,0,0.02083814,0.033484613,0,0,0,0.041603576,0.004295795,0.004425513,0.003613957,0.001470214,0.048497546,0.04085509,0.020278905,0.005986467,0.051836038,0.025426671,0,0,0,0,0,0,0,0,0,0,0.03037206,0.034559228,0,0,0,0,0.000239066,0.000263613,0.006577815,0.00688133,0,0,0,0,0,0,0.000269409,0.000899434,0.001655148,0.010152437,0.00082538,0.001601377,0,0,0.002489623,0.01379849,0,0,0.002417888,0,0,0
medial_octavolateral_nucleus_RIGHT,0.025451676,0.015390675,0,0,0.028611587,0.061474989,0,0,0,0,0,0,0,0,0.03321315,0.022396645,0,0,0.041603576,0,0.003943653,0.003406699,0.00294515,0.001113058,0.031758824,0.042711717,0.008620855,0.009118666,0.022729449,0.043120851,0,0,0,0,0,0,0,0,0,0,0.031734226,0.02820794,0,0,0,0,0.000263995,0.000251168,0.008008726,0.007875604,0,0,0,0,0,0,0.000886991,0.00032788,0.010449445,0.001846067,0.001705615,0.001030567,0,0,0.01538605,0.002588341,0,0,0,0.002451653,0,0
